Circuit delay: 2364.17 ps

Gate slacks:
INP-n1: 2484.99 ps
INP-n2: 2520.92 ps
INP-n3: 2545.80 ps
INP-n4: -616.84 ps
INP-n5: 2305.89 ps
INP-n6: 2145.37 ps
INP-n7: 2139.49 ps
INP-n8: 2044.09 ps
INP-n9: 1942.08 ps
INP-n10: 1827.00 ps
INP-n11: 1747.62 ps
INP-n12: 1619.23 ps
INP-n13: 1529.53 ps
INP-n14: 1419.17 ps
INP-n15: 1348.55 ps
INP-n16: 1207.54 ps
INP-n17: 1128.56 ps
INP-n18: 1049.87 ps
INP-n19: 977.80 ps
INP-n20: 878.65 ps
INP-n21: 803.77 ps
INP-n22: 680.39 ps
INP-n23: 610.40 ps
INP-n24: 467.65 ps
INP-n25: 389.77 ps
INP-n26: 266.29 ps
INP-n27: 202.40 ps
INP-n28: 59.30 ps
INP-n29: -28.80 ps
INP-n30: -134.00 ps
INP-n31: -209.81 ps
INP-n32: -321.63 ps
INP-n33: -415.91 ps
INP-n34: -532.33 ps
INP-n35: 2147483647.00 ps
INP-n36: 2147483647.00 ps
INP-n37: 2600.59 ps
OUT-n38: 236.42 ps
OUT-n39: 263.01 ps
OUT-n40: 325.57 ps
OUT-n41: 448.06 ps
OUT-n42: 538.58 ps
OUT-n43: 626.69 ps
OUT-n44: 736.50 ps
OUT-n45: 845.46 ps
OUT-n46: 884.76 ps
OUT-n47: 1023.09 ps
OUT-n48: 1115.11 ps
OUT-n49: 1200.85 ps
OUT-n50: 1280.31 ps
OUT-n51: 1427.88 ps
OUT-n52: 1488.01 ps
OUT-n53: 1604.01 ps
OUT-n54: 1686.45 ps
OUT-n55: 1789.74 ps
OUT-n56: 1926.66 ps
OUT-n57: 1923.81 ps
OUT-n58: 2025.45 ps
OUT-n59: 2052.98 ps
INPUT-n60: 2370.82 ps
NAND-n61: 2600.59 ps
INPUT-n62: 2370.82 ps
NAND-n63: 2600.59 ps
INPUT-n64: 2370.82 ps
NAND-n65: 2600.59 ps
INPUT-n66: 2370.82 ps
NAND-n67: 2600.59 ps
INPUT-n68: 2370.82 ps
NAND-n69: 2600.59 ps
INPUT-n70: 2370.82 ps
NAND-n71: 2600.59 ps
INPUT-n72: 2370.82 ps
NAND-n73: 2600.59 ps
INPUT-n74: 2370.82 ps
NAND-n75: 2600.59 ps
INPUT-n76: 2534.45 ps
NAND-n77: 2600.59 ps
INPUT-n78: 2534.45 ps
NAND-n79: 2600.59 ps
INPUT-n80: 2534.45 ps
NAND-n81: 2600.59 ps
INPUT-n82: 2534.45 ps
NAND-n83: 2600.59 ps
INPUT-n84: 2534.45 ps
NAND-n85: 2600.59 ps
INPUT-n86: 2534.45 ps
NAND-n87: 2600.59 ps
INPUT-n88: 2534.45 ps
NAND-n89: 2600.59 ps
INPUT-n90: 2545.48 ps
NAND-n91: 2600.59 ps
INPUT-n92: 2387.24 ps
NAND-n93: 2600.59 ps
INPUT-n94: 2387.24 ps
NAND-n95: 2600.59 ps
INPUT-n96: 2387.24 ps
NAND-n97: 2600.59 ps
INPUT-n98: 2387.24 ps
NAND-n99: 2600.59 ps
INPUT-n100: 2387.24 ps
NAND-n101: 2600.59 ps
INPUT-n102: 2387.24 ps
NAND-n103: 2600.59 ps
INPUT-n104: 2387.24 ps
NAND-n105: 2600.59 ps
INPUT-n106: 2387.24 ps
NAND-n107: 2600.59 ps
INPUT-n108: 2414.11 ps
NAND-n109: 2600.59 ps
INPUT-n110: 2414.11 ps
NAND-n111: 2600.59 ps
INPUT-n112: 2414.11 ps
NAND-n113: 2600.59 ps
INPUT-n114: 2414.11 ps
NAND-n115: 2600.59 ps
INPUT-n116: 2414.11 ps
NAND-n117: 2600.59 ps
INPUT-n118: 2414.11 ps
NAND-n119: 2600.59 ps
INPUT-n120: 2414.11 ps
NAND-n121: 2600.59 ps
INPUT-n122: 2414.11 ps
NAND-n123: 2600.59 ps
INPUT-n124: 2371.44 ps
NAND-n125: 2600.59 ps
INPUT-n126: 2371.44 ps
NAND-n127: 2600.59 ps
INPUT-n128: 2371.44 ps
NAND-n129: 2600.59 ps
INPUT-n130: 2371.44 ps
NAND-n131: 2600.59 ps
INPUT-n132: 2371.44 ps
NAND-n133: 2600.59 ps
INPUT-n134: 2371.44 ps
NAND-n135: 2600.59 ps
