Circuit delay: 1919.98 ps

Gate slacks:
INP-n1: 1941.37 ps
INP-n2: 1941.37 ps
INP-n3: 1941.37 ps
INP-n4: 1941.37 ps
INP-n5: 1941.37 ps
INP-n6: 1941.37 ps
INP-n7: 1941.37 ps
INP-n8: 1941.37 ps
INP-n9: 1914.44 ps
INP-n10: 1914.44 ps
INP-n11: 1914.44 ps
INP-n12: 1914.44 ps
INP-n13: 1914.44 ps
INP-n14: 1914.44 ps
INP-n15: 1914.44 ps
INP-n16: 1914.44 ps
INP-n17: 2065.13 ps
INP-n18: 2038.24 ps
INP-n19: 2038.24 ps
INP-n20: 2038.24 ps
INP-n21: 2038.24 ps
INP-n22: 2038.24 ps
INP-n23: 2038.24 ps
INP-n24: 2038.24 ps
INP-n25: 1914.42 ps
INP-n26: 1914.42 ps
INP-n27: 1914.42 ps
INP-n28: 1914.42 ps
INP-n29: 1914.42 ps
INP-n30: 1914.42 ps
INP-n31: 1914.42 ps
INP-n32: 1914.42 ps
INP-n33: 2005.67 ps
INP-n34: 2029.74 ps
INP-n35: 1501.70 ps
INP-n36: 1969.85 ps
INP-n37: 2063.23 ps
INP-n38: 2063.23 ps
INP-n39: 2063.23 ps
INP-n40: 2063.23 ps
INP-n41: 2063.23 ps
INP-n42: 2063.23 ps
INP-n43: 2063.23 ps
INP-n44: 2063.23 ps
INP-n45: 2063.23 ps
INP-n46: 2063.23 ps
INP-n47: 2063.23 ps
INP-n48: 2063.23 ps
INP-n49: 2063.23 ps
INP-n50: 2063.23 ps
INP-n51: 2063.23 ps
INP-n52: 2063.23 ps
INP-n53: 2063.23 ps
INP-n54: 2063.23 ps
INP-n55: 2063.23 ps
INP-n56: 2063.23 ps
INP-n57: 2063.23 ps
INP-n58: 2063.23 ps
INP-n59: 2063.23 ps
INP-n60: 2063.23 ps
INP-n61: 2063.23 ps
INP-n62: 2063.23 ps
INP-n63: 2063.23 ps
INP-n64: 2063.23 ps
INP-n65: 2063.23 ps
INP-n66: 2063.23 ps
INP-n67: 2063.23 ps
INP-n68: 2063.23 ps
INP-n69: 2063.23 ps
INP-n70: 2063.23 ps
INP-n71: 2063.23 ps
INP-n72: 2063.23 ps
INP-n73: 2063.23 ps
INP-n74: 2074.81 ps
INP-n75: 2070.85 ps
INP-n76: 2040.49 ps
INP-n77: 2040.49 ps
INP-n78: 2040.49 ps
INP-n79: 2040.49 ps
INP-n80: 2040.49 ps
INP-n81: 2040.49 ps
INP-n82: 2040.49 ps
INP-n83: 2040.49 ps
INP-n84: 2040.49 ps
INP-n85: 2040.49 ps
INP-n86: 2040.49 ps
INP-n87: 2040.49 ps
INP-n88: 2040.49 ps
INP-n89: 2040.49 ps
INP-n90: 2040.49 ps
INP-n91: 2065.02 ps
INP-n92: 2065.02 ps
INP-n93: 2065.02 ps
INP-n94: 2065.02 ps
INP-n95: 2065.02 ps
INP-n96: 2065.02 ps
INP-n97: 2065.02 ps
INP-n98: 2065.02 ps
INP-n99: 2065.02 ps
INP-n100: 2065.02 ps
INP-n101: 2065.02 ps
INP-n102: 2065.02 ps
INP-n103: 2065.02 ps
INP-n104: 2065.02 ps
INP-n105: 2065.02 ps
INP-n106: 2065.02 ps
NAND-n107: 1760.55 ps
NAND-n108: 1760.55 ps
NAND-n109: 1760.55 ps
NAND-n110: 1760.55 ps
NAND-n111: 1582.88 ps
NAND-n112: 1582.88 ps
NAND-n113: 1582.88 ps
NAND-n114: 1582.88 ps
NAND-n115: 1582.88 ps
NAND-n116: 1582.88 ps
NAND-n117: 1582.88 ps
NAND-n118: 1582.88 ps
NAND-n119: 1582.88 ps
NAND-n120: 1582.88 ps
NAND-n121: 1582.88 ps
NAND-n122: 1582.88 ps
NAND-n123: 1582.88 ps
NAND-n124: 1582.88 ps
NAND-n125: 1582.88 ps
NAND-n126: 1582.88 ps
NAND-n127: 1582.88 ps
NAND-n128: 1582.88 ps
NAND-n129: 1582.88 ps
NAND-n130: 1582.88 ps
NAND-n131: 1582.88 ps
NAND-n132: 1582.88 ps
NAND-n133: 1582.88 ps
NAND-n134: 1582.88 ps
NAND-n135: 1582.88 ps
NAND-n136: 1582.88 ps
NAND-n137: 1582.88 ps
NAND-n138: 1582.88 ps
NAND-n139: 1582.88 ps
NAND-n140: 1582.88 ps
INP-n141: 1456.23 ps
NAND-n142: 1726.60 ps
INP-n143: 1467.99 ps
NAND-n144: 1726.60 ps
INP-n145: 1490.38 ps
NAND-n146: 1959.88 ps
INP-n147: 1876.23 ps
NAND-n148: 1841.47 ps
INP-n149: 1876.23 ps
NAND-n150: 1841.47 ps
INP-n151: 1882.19 ps
AND-n152: 1847.60 ps
INP-n153: 1882.19 ps
AND-n154: 1847.60 ps
INP-n155: 1882.19 ps
AND-n156: 1847.60 ps
INP-n157: 1882.19 ps
AND-n158: 1847.60 ps
INP-n159: 1882.19 ps
AND-n160: 1847.60 ps
INP-n161: 1882.19 ps
AND-n162: 1847.60 ps
INP-n163: 1882.19 ps
AND-n164: 1847.60 ps
INP-n165: 1882.19 ps
AND-n166: 1847.60 ps
INP-n167: 1882.19 ps
AND-n168: 1847.60 ps
INP-n169: 1882.19 ps
AND-n170: 1847.60 ps
INP-n171: 1882.19 ps
AND-n172: 1847.60 ps
INP-n173: 1882.19 ps
AND-n174: 1847.60 ps
INP-n175: 1882.19 ps
AND-n176: 1847.60 ps
INP-n177: 1882.19 ps
AND-n178: 1847.60 ps
INP-n179: 1882.19 ps
AND-n180: 1847.60 ps
INP-n181: 1882.19 ps
AND-n182: 1847.60 ps
INP-n183: 1882.19 ps
AND-n184: 1847.60 ps
INP-n185: 1882.19 ps
AND-n186: 1847.60 ps
INP-n187: 1882.19 ps
AND-n188: 1847.60 ps
INP-n189: 1882.19 ps
AND-n190: 1847.60 ps
INP-n191: 1882.19 ps
AND-n192: 1847.60 ps
INP-n193: 1882.19 ps
AND-n194: 1847.60 ps
INP-n195: 1882.19 ps
AND-n196: 1847.60 ps
INP-n197: 1882.19 ps
AND-n198: 1847.60 ps
INP-n199: 1863.99 ps
AND-n200: 1847.60 ps
INP-n201: 1863.99 ps
AND-n202: 1847.60 ps
INP-n203: 1863.99 ps
AND-n204: 1847.60 ps
INP-n205: 1863.99 ps
AND-n206: 1847.60 ps
INP-n207: 1863.99 ps
AND-n208: 1847.60 ps
INP-n209: 1863.99 ps
AND-n210: 1847.60 ps
INP-n211: 1530.28 ps
NAND-n212: 778.43 ps
INP-n213: 1520.42 ps
NAND-n214: 795.66 ps
INP-n215: 1500.31 ps
NAND-n216: 751.66 ps
INP-n217: 1531.36 ps
NAND-n218: 808.07 ps
INP-n219: 539.47 ps
NAND-n220: 1491.21 ps
INP-n221: 540.55 ps
NAND-n222: 1491.21 ps
INP-n223: 519.03 ps
NAND-n224: 1491.21 ps
INP-n225: 499.86 ps
NAND-n226: 1491.21 ps
INP-n227: 503.19 ps
NAND-n228: 1491.21 ps
INP-n229: 501.11 ps
NAND-n230: 1491.21 ps
INP-n231: 450.49 ps
NAND-n232: 1491.21 ps
INP-n233: 997.40 ps
NAND-n234: 1491.21 ps
INP-n235: 539.47 ps
NAND-n236: 1491.21 ps
INP-n237: 540.55 ps
NAND-n238: 1491.21 ps
INP-n239: 519.03 ps
NAND-n240: 1491.21 ps
INP-n241: 499.86 ps
NAND-n242: 1491.21 ps
INP-n243: 503.19 ps
NAND-n244: 1491.21 ps
INP-n245: 501.11 ps
NAND-n246: 1491.21 ps
INP-n247: 450.49 ps
NAND-n248: 1491.21 ps
INP-n249: 997.40 ps
NAND-n250: 1491.21 ps
INP-n251: 539.47 ps
NAND-n252: 1491.21 ps
INP-n253: 540.55 ps
NAND-n254: 1491.21 ps
INP-n255: 519.03 ps
NAND-n256: 1491.21 ps
INP-n257: 499.86 ps
NAND-n258: 1491.21 ps
INP-n259: 503.19 ps
NAND-n260: 1491.21 ps
INP-n261: 501.11 ps
NAND-n262: 1491.21 ps
INP-n263: 450.49 ps
NAND-n264: 1491.21 ps
INP-n265: 997.40 ps
NAND-n266: 1491.21 ps
INP-n267: 539.47 ps
NAND-n268: 1491.21 ps
INP-n269: 540.55 ps
NAND-n270: 1491.21 ps
INP-n271: 519.03 ps
NAND-n272: 1491.21 ps
INP-n273: 499.86 ps
NAND-n274: 1491.21 ps
INP-n275: 503.19 ps
NAND-n276: 1491.21 ps
INP-n277: 501.11 ps
NAND-n278: 1491.21 ps
INP-n279: 450.49 ps
NAND-n280: 1491.21 ps
INP-n281: 997.40 ps
NAND-n282: 1491.21 ps
INP-n283: 539.47 ps
NAND-n284: 1491.21 ps
INP-n285: 540.55 ps
NAND-n286: 1491.21 ps
INP-n287: 519.03 ps
NAND-n288: 1491.21 ps
INP-n289: 499.86 ps
NAND-n290: 1491.21 ps
INP-n291: 503.19 ps
NAND-n292: 1491.21 ps
INP-n293: 501.11 ps
NAND-n294: 1491.21 ps
INP-n295: 450.49 ps
NAND-n296: 1491.21 ps
INP-n297: 1036.59 ps
NAND-n298: 1491.21 ps
INP-n299: 539.47 ps
NAND-n300: 1491.21 ps
INP-n301: 540.55 ps
NAND-n302: 1491.21 ps
INP-n303: 519.03 ps
NAND-n304: 1491.21 ps
INP-n305: 499.86 ps
NAND-n306: 1491.21 ps
INP-n307: 503.19 ps
NAND-n308: 1491.21 ps
INP-n309: 501.11 ps
NAND-n310: 1491.21 ps
INP-n311: 450.49 ps
NAND-n312: 1491.21 ps
INP-n313: 1036.59 ps
NAND-n314: 1491.21 ps
INP-n315: 539.47 ps
NAND-n316: 1491.21 ps
INP-n317: 540.55 ps
NAND-n318: 1491.21 ps
INP-n319: 519.03 ps
NAND-n320: 1491.21 ps
INP-n321: 499.86 ps
NAND-n322: 1491.21 ps
INP-n323: 503.19 ps
NAND-n324: 1491.21 ps
INP-n325: 501.11 ps
NAND-n326: 1491.21 ps
INP-n327: 450.49 ps
NAND-n328: 1491.21 ps
INP-n329: 1036.59 ps
NAND-n330: 1491.21 ps
INP-n331: 539.47 ps
NAND-n332: 1491.21 ps
INP-n333: 540.55 ps
NAND-n334: 1491.21 ps
INP-n335: 519.03 ps
NAND-n336: 1491.21 ps
INP-n337: 499.86 ps
NAND-n338: 1491.21 ps
INP-n339: 503.19 ps
NAND-n340: 1491.21 ps
INP-n341: 501.11 ps
NAND-n342: 1491.21 ps
INP-n343: 450.49 ps
NAND-n344: 1491.21 ps
INP-n345: 1036.59 ps
NAND-n346: 1491.21 ps
INP-n347: 539.47 ps
NAND-n348: 1432.75 ps
INP-n349: 540.55 ps
NAND-n350: 1432.75 ps
INP-n351: 519.03 ps
NAND-n352: 1432.75 ps
INP-n353: 499.86 ps
NAND-n354: 1432.75 ps
INP-n355: 503.19 ps
NAND-n356: 1432.75 ps
INP-n357: 501.11 ps
NAND-n358: 1432.75 ps
INP-n359: 450.49 ps
NAND-n360: 1432.75 ps
INP-n361: 997.56 ps
NAND-n362: 1432.75 ps
INP-n363: 539.47 ps
NAND-n364: 1439.00 ps
INP-n365: 540.55 ps
NAND-n366: 1439.00 ps
INP-n367: 519.03 ps
NAND-n368: 1439.00 ps
INP-n369: 499.86 ps
NAND-n370: 1439.00 ps
INP-n371: 503.19 ps
NAND-n372: 1439.00 ps
INP-n373: 501.11 ps
NAND-n374: 1439.00 ps
INP-n375: 450.49 ps
NAND-n376: 1439.00 ps
INP-n377: 997.40 ps
NAND-n378: 1439.00 ps
INP-n379: 539.47 ps
NAND-n380: 1470.71 ps
INP-n381: 540.55 ps
NAND-n382: 1470.71 ps
INP-n383: 519.03 ps
NAND-n384: 1470.71 ps
INP-n385: 499.86 ps
NAND-n386: 1470.71 ps
INP-n387: 503.19 ps
NAND-n388: 1470.71 ps
INP-n389: 501.11 ps
NAND-n390: 1470.71 ps
INP-n391: 450.49 ps
NAND-n392: 1470.71 ps
INP-n393: 997.40 ps
NAND-n394: 1470.71 ps
INP-n395: 539.47 ps
NAND-n396: 1439.00 ps
INP-n397: 540.55 ps
NAND-n398: 1439.00 ps
INP-n399: 519.03 ps
NAND-n400: 1439.00 ps
INP-n401: 499.86 ps
NAND-n402: 1439.00 ps
INP-n403: 503.19 ps
NAND-n404: 1439.00 ps
INP-n405: 501.11 ps
NAND-n406: 1439.00 ps
INP-n407: 450.49 ps
NAND-n408: 1439.00 ps
INP-n409: 997.41 ps
NAND-n410: 1439.00 ps
INP-n411: 539.47 ps
NAND-n412: 1470.71 ps
INP-n413: 540.55 ps
NAND-n414: 1470.71 ps
INP-n415: 519.03 ps
NAND-n416: 1470.71 ps
INP-n417: 499.86 ps
NAND-n418: 1470.71 ps
INP-n419: 503.19 ps
NAND-n420: 1470.71 ps
INP-n421: 501.11 ps
NAND-n422: 1470.71 ps
INP-n423: 450.49 ps
NAND-n424: 1470.71 ps
INP-n425: 997.41 ps
NAND-n426: 1470.71 ps
INP-n427: 539.47 ps
NAND-n428: 1470.71 ps
INP-n429: 540.55 ps
NAND-n430: 1470.71 ps
INP-n431: 519.03 ps
NAND-n432: 1470.71 ps
INP-n433: 499.86 ps
NAND-n434: 1470.71 ps
INP-n435: 503.19 ps
NAND-n436: 1470.71 ps
INP-n437: 501.11 ps
NAND-n438: 1470.71 ps
INP-n439: 450.49 ps
NAND-n440: 1470.71 ps
INP-n441: 997.40 ps
NAND-n442: 1470.71 ps
INP-n443: 539.47 ps
NAND-n444: 1470.71 ps
INP-n445: 540.55 ps
NAND-n446: 1470.71 ps
INP-n447: 519.03 ps
NAND-n448: 1470.71 ps
INP-n449: 499.86 ps
NAND-n450: 1470.71 ps
INP-n451: 503.19 ps
NAND-n452: 1470.71 ps
INP-n453: 501.11 ps
NAND-n454: 1470.71 ps
INP-n455: 450.49 ps
NAND-n456: 1470.71 ps
INP-n457: 997.40 ps
NAND-n458: 1470.71 ps
INP-n459: 539.47 ps
NAND-n460: 1470.71 ps
INP-n461: 540.55 ps
NAND-n462: 1470.71 ps
INP-n463: 519.03 ps
NAND-n464: 1470.71 ps
INP-n465: 499.86 ps
NAND-n466: 1470.71 ps
INP-n467: 503.19 ps
NAND-n468: 1470.71 ps
INP-n469: 501.11 ps
NAND-n470: 1470.71 ps
INP-n471: 450.49 ps
NAND-n472: 1470.71 ps
INP-n473: 997.41 ps
NAND-n474: 1470.71 ps
INP-n475: 1337.92 ps
NAND-n476: 1031.86 ps
INP-n477: 213.10 ps
NAND-n478: 1031.86 ps
INP-n479: 236.07 ps
NAND-n480: 1031.86 ps
INP-n481: 192.00 ps
NAND-n482: 1031.86 ps
INP-n483: 192.00 ps
NAND-n484: 1031.86 ps
INP-n485: 1337.92 ps
AND-n486: 1779.47 ps
INP-n487: 1317.85 ps
NAND-n488: 1517.55 ps
INP-n489: 1278.16 ps
NAND-n490: 1688.25 ps
INP-n491: 1238.95 ps
NAND-n492: 1729.93 ps
INP-n493: 1201.84 ps
NAND-n494: 1783.11 ps
INP-n495: 1178.03 ps
NAND-n496: 1122.06 ps
INP-n497: 1178.03 ps
NAND-n498: 1122.06 ps
INP-n499: 1181.57 ps
NAND-n500: 1079.78 ps
