Circuit delay: 964.73 ps

Gate slacks:
NAND-n1: 409.66 ps
NAND-n2: 398.55 ps
NAND-n3: 398.55 ps
NAND-n4: 417.36 ps
NAND-n5: 406.24 ps
NAND-n6: 406.24 ps
NAND-n7: 417.36 ps
NAND-n8: 406.24 ps
NAND-n9: 406.24 ps
NAND-n10: 417.36 ps
NAND-n11: 406.24 ps
NAND-n12: 406.24 ps
NAND-n13: 392.67 ps
NAND-n14: 381.58 ps
NAND-n15: 381.58 ps
NAND-n16: 392.67 ps
NAND-n17: 381.58 ps
NAND-n18: 381.58 ps
NAND-n19: 392.67 ps
NAND-n20: 381.58 ps
NAND-n21: 381.58 ps
NAND-n22: 392.67 ps
NAND-n23: 381.58 ps
NAND-n24: 381.58 ps
NAND-n25: 392.67 ps
NAND-n26: 381.58 ps
NAND-n27: 381.58 ps
NAND-n28: 396.82 ps
NAND-n29: 385.72 ps
NAND-n30: 385.72 ps
NAND-n31: 401.54 ps
NAND-n32: 390.42 ps
NAND-n33: 390.42 ps
NAND-n34: 401.54 ps
NAND-n35: 390.42 ps
NAND-n36: 390.42 ps
NAND-n37: 401.54 ps
NAND-n38: 390.42 ps
NAND-n39: 390.42 ps
NAND-n40: 401.54 ps
NAND-n41: 390.42 ps
NAND-n42: 390.42 ps
NAND-n43: 396.82 ps
NAND-n44: 385.72 ps
NAND-n45: 385.72 ps
NAND-n46: 396.82 ps
NAND-n47: 385.72 ps
NAND-n48: 385.72 ps
NAND-n49: 141.41 ps
NAND-n50: 960.40 ps
AND-n51: 141.41 ps
NAND-n52: 960.40 ps
NAND-n53: 141.41 ps
AND-n54: 141.41 ps
NAND-n55: 96.47 ps
NAND-n56: 960.40 ps
AND-n57: 96.47 ps
NAND-n58: 960.40 ps
NAND-n59: 141.41 ps
AND-n60: 141.41 ps
NAND-n61: 141.41 ps
NAND-n62: 960.40 ps
AND-n63: 141.41 ps
NAND-n64: 960.40 ps
NAND-n65: 141.41 ps
AND-n66: 141.41 ps
NAND-n67: 250.12 ps
NAND-n68: 238.93 ps
NAND-n69: 238.93 ps
NAND-n70: 250.12 ps
NAND-n71: 238.93 ps
NAND-n72: 238.93 ps
AND-n73: 436.13 ps
AND-n74: 152.18 ps
NOR-n75: 152.18 ps
INP-n101: 142.77 ps
INP-n104: 101.48 ps
