Circuit delay: 3219.76 ps

Gate slacks:
INP-n1: 2636.76 ps
INP-n2: 2679.64 ps
INP-n3: 2680.88 ps
INP-n4: 2647.16 ps
INP-n5: 2591.93 ps
INP-n6: 2567.78 ps
INP-n7: 2528.09 ps
INP-n8: 2488.39 ps
INP-n9: 2448.70 ps
INP-n10: 2409.01 ps
INP-n11: 2369.32 ps
INP-n12: 2329.62 ps
INP-n13: 2289.93 ps
INP-n14: 2250.24 ps
INP-n15: 2210.54 ps
INP-n16: 2170.84 ps
INP-n17: 2096.64 ps
INP-n18: 2063.56 ps
INP-n19: 2030.48 ps
INP-n20: 1997.41 ps
INP-n21: 1995.42 ps
INP-n22: 2035.51 ps
INP-n23: 2002.44 ps
INP-n24: 1969.36 ps
INP-n25: 1967.61 ps
INP-n26: 1980.56 ps
INP-n27: 1947.48 ps
INP-n28: 1942.37 ps
INP-n29: 1935.34 ps
INP-n30: 1924.63 ps
INP-n31: 1954.63 ps
INP-n32: 1954.63 ps
AND-n33: 2282.02 ps
NAND-n34: 2311.21 ps
NAND-n35: 2407.53 ps
NAND-n36: 2447.22 ps
NAND-n37: 2484.41 ps
NAND-n38: 2566.65 ps
NAND-n39: 2648.88 ps
NAND-n40: 2733.60 ps
NAND-n41: 2773.30 ps
NAND-n42: 2810.49 ps
NAND-n43: 2895.21 ps
NAND-n44: 2932.40 ps
NAND-n45: 3017.12 ps
NAND-n46: 3056.81 ps
NAND-n47: 3094.00 ps
NAND-n48: 3178.72 ps
NAND-n49: 3215.91 ps
NAND-n50: 3286.14 ps
NAND-n51: 3356.33 ps
NAND-n52: 3424.72 ps
OR-n53: 3454.43 ps
OR-n54: 3460.34 ps
INP-n55: 1536.23 ps
NAND-n56: 1802.16 ps
INP-n57: 1536.23 ps
NAND-n58: 1746.58 ps
INP-n59: 1536.23 ps
NAND-n60: 1753.67 ps
INP-n61: 1536.23 ps
NAND-n62: 1711.37 ps
INP-n63: 1536.23 ps
NAND-n64: 1717.87 ps
INP-n65: 1536.23 ps
NAND-n66: 1678.54 ps
INP-n67: 1536.23 ps
NAND-n68: 1678.54 ps
INP-n69: 1561.16 ps
NAND-n70: 1656.28 ps
INP-n71: 1561.16 ps
NAND-n72: 1622.26 ps
INP-n73: 1561.16 ps
NAND-n74: 1622.26 ps
INP-n75: 1536.23 ps
NAND-n76: 1622.26 ps
INP-n77: 1536.23 ps
NAND-n78: 1594.82 ps
INP-n79: 1536.23 ps
NAND-n80: 1560.68 ps
INP-n81: 1536.23 ps
NAND-n82: 1560.68 ps
INP-n83: 1536.23 ps
NAND-n84: 1560.68 ps
INP-n85: 1536.23 ps
NAND-n86: 1560.68 ps
INP-n87: 1536.23 ps
NAND-n88: 1554.81 ps
INP-n89: 1536.23 ps
NAND-n90: 1515.12 ps
INP-n91: 1536.23 ps
NAND-n92: 1475.43 ps
INP-n93: 1536.23 ps
NAND-n94: 1435.74 ps
INP-n95: 1561.16 ps
NAND-n96: 1396.04 ps
INP-n97: 1561.16 ps
NAND-n98: 1356.35 ps
INP-n99: 1561.16 ps
NAND-n100: 1316.66 ps
INP-n101: 1536.23 ps
NAND-n102: 1276.96 ps
INP-n103: 1536.23 ps
NAND-n104: 1237.27 ps
INP-n105: 1536.23 ps
NAND-n106: 1197.58 ps
INP-n107: 1536.23 ps
NAND-n108: 1157.89 ps
INP-n109: 1536.23 ps
NAND-n110: 1118.19 ps
INP-n111: 1536.23 ps
NAND-n112: 1078.50 ps
INP-n113: 1536.23 ps
NAND-n114: 1038.81 ps
INP-n115: 1671.06 ps
NAND-n116: 993.50 ps
INP-n117: 1574.52 ps
NAND-n118: 989.77 ps
INP-n119: 2788.45 ps
NAND-n120: 2754.01 ps
INP-n121: 2801.86 ps
