Circuit delay: 1150.07 ps

Gate slacks:
INP-n1: 177.30 ps
INP-n13: 157.19 ps
INP-n20: 150.64 ps
INP-n33: 115.01 ps
INP-n41: 176.45 ps
INP-n45: 210.57 ps
INP-n50: 314.10 ps
INP-n58: 221.98 ps
INP-n68: 200.23 ps
INP-n77: 265.98 ps
INP-n87: 233.98 ps
INP-n97: 190.99 ps
INP-n107: 169.24 ps
INP-n116: 240.12 ps
INP-n124: 698.70 ps
INP-n125: 698.44 ps
INP-n128: 698.44 ps
INP-n132: 698.44 ps
INP-n137: 698.44 ps
INP-n143: 698.44 ps
INP-n150: 352.55 ps
INP-n159: 296.97 ps
INP-n169: 369.01 ps
INP-n179: 369.01 ps
INP-n190: 377.01 ps
INP-n200: 377.01 ps
INP-n213: 462.87 ps
INP-n222: 342.23 ps
INP-n223: 286.64 ps
INP-n226: 286.64 ps
INP-n232: 301.01 ps
INP-n238: 240.12 ps
INP-n244: 240.12 ps
INP-n250: 246.85 ps
INP-n257: 254.28 ps
INP-n264: 288.51 ps
INP-n270: 334.63 ps
INP-n274: 286.24 ps
INP-n283: 246.85 ps
INP-n294: 254.28 ps
INP-n303: 288.51 ps
INP-n311: 732.39 ps
INP-n317: 743.67 ps
INP-n322: 743.67 ps
INP-n326: 743.67 ps
INP-n329: 743.67 ps
INP-n330: 735.33 ps
INP-n343: 462.87 ps
NOT-n349: 1009.99 ps
NOT-n350: 1009.99 ps
NAND-n351: 1009.99 ps
NAND-n352: 1182.04 ps
NOT-n353: 1182.04 ps
AND-n354: 1178.36 ps
NOT-n355: 1178.36 ps
NAND-n356: 1041.81 ps
NAND-n357: 1041.81 ps
NAND-n358: 1041.81 ps
OR-n359: 1052.46 ps
NOT-n360: 1035.61 ps
NAND-n361: 1035.61 ps
OR-n362: 598.69 ps
NOT-n363: 582.36 ps
AND-n364: 582.36 ps
OR-n365: 464.36 ps
NOT-n366: 448.03 ps
AND-n367: 448.03 ps
AND-n368: 762.14 ps
NOT-n369: 762.14 ps
AND-n372: 797.36 ps
AND-n375: 362.90 ps
AND-n378: 414.78 ps
NOT-n380: 392.78 ps
AND-n381: 392.78 ps
NOT-n383: 568.40 ps
AND-n384: 568.40 ps
NOT-n386: 458.48 ps
AND-n387: 458.48 ps
NOT-n389: 472.82 ps
AND-n390: 472.82 ps
NOT-n392: 465.61 ps
AND-n393: 465.61 ps
NOT-n395: 616.97 ps
AND-n396: 616.97 ps
AND-n397: 674.22 ps
AND-n398: 683.21 ps
OR-n399: 674.22 ps
NAND-n400: 202.47 ps
NAND-n401: 202.47 ps
NAND-n402: 202.47 ps
NAND-n403: 115.01 ps
NAND-n404: 115.01 ps
AND-n405: 115.01 ps
AND-n406: 285.82 ps
NOT-n407: 285.82 ps
AND-n408: 235.31 ps
NOT-n409: 235.31 ps
BUFF-n432: 653.65 ps
NOT-n442: 735.67 ps
BUFF-n447: 656.76 ps
NOT-n456: 679.53 ps
BUFF-n460: 719.97 ps
NOT-n463: 679.53 ps
BUFF-n467: 656.50 ps
BUFF-n476: 719.97 ps
NOT-n479: 679.53 ps
BUFF-n483: 656.50 ps
BUFF-n492: 656.50 ps
NOT-n501: 738.67 ps
BUFF-n504: 656.50 ps
NOT-n513: 733.30 ps
