Circuit delay: 0.00 ps

Gate slacks:
INP-n1: -0.20 ps
INP-n2: -0.20 ps
INP-n3: -0.20 ps
INP-n4: -0.20 ps
INP-n5: -0.20 ps
INP-n6: -0.20 ps
INP-n7: -0.20 ps
INP-n8: -0.20 ps
INP-n9: -0.23 ps
INP-n10: -0.23 ps
INP-n11: -0.23 ps
INP-n12: -0.23 ps
INP-n13: -0.23 ps
INP-n14: -0.23 ps
INP-n15: -0.23 ps
INP-n16: -0.23 ps
INP-n17: -0.07 ps
INP-n18: -0.07 ps
INP-n19: -0.07 ps
INP-n20: -0.07 ps
INP-n21: -0.07 ps
INP-n22: -0.07 ps
INP-n23: -0.07 ps
INP-n24: -0.07 ps
INP-n25: -0.23 ps
INP-n26: -0.23 ps
INP-n27: -0.23 ps
INP-n28: -0.23 ps
INP-n29: -0.23 ps
INP-n30: -0.23 ps
INP-n31: -0.23 ps
INP-n32: -0.23 ps
INP-n33: -0.15 ps
INP-n34: -0.14 ps
INP-n35: -0.76 ps
INP-n36: -0.22 ps
OUT-n37: 0.00 ps
OUT-n38: 0.00 ps
OUT-n39: 0.00 ps
OUT-n40: 0.00 ps
OUT-n41: 0.00 ps
OUT-n42: 0.00 ps
OUT-n43: 0.00 ps
OUT-n44: 0.00 ps
OUT-n45: 0.00 ps
OUT-n46: 0.00 ps
OUT-n47: 0.00 ps
OUT-n48: 0.00 ps
OUT-n49: 0.00 ps
OUT-n50: 0.00 ps
OUT-n51: 0.00 ps
OUT-n52: 0.00 ps
OUT-n53: 0.00 ps
OUT-n54: 0.00 ps
OUT-n55: 0.00 ps
OUT-n56: 0.00 ps
OUT-n57: 0.00 ps
OUT-n58: 0.00 ps
OUT-n59: 0.00 ps
OUT-n60: 0.00 ps
OUT-n61: 0.00 ps
OUT-n62: 0.00 ps
OUT-n63: 0.00 ps
OUT-n64: 0.00 ps
OUT-n65: 0.00 ps
OUT-n66: 0.00 ps
OUT-n67: 0.00 ps
OUT-n68: 0.00 ps
OUT-n69: 0.00 ps
OUT-n70: 0.00 ps
OUT-n71: 0.00 ps
OUT-n72: 0.00 ps
OUT-n73: 0.00 ps
OUT-n74: 0.00 ps
OUT-n75: 0.00 ps
OUT-n76: 0.00 ps
OUT-n77: 0.00 ps
OUT-n78: 0.00 ps
OUT-n79: 0.00 ps
OUT-n80: 0.00 ps
OUT-n81: 0.00 ps
OUT-n82: 0.00 ps
OUT-n83: 0.00 ps
OUT-n84: 0.00 ps
OUT-n85: 0.00 ps
OUT-n86: 0.00 ps
OUT-n87: 0.00 ps
OUT-n88: 0.00 ps
OUT-n89: 0.00 ps
OUT-n90: 0.00 ps
OUT-n91: 0.00 ps
OUT-n92: 0.00 ps
OUT-n93: 0.00 ps
OUT-n94: 0.00 ps
OUT-n95: 0.00 ps
OUT-n96: 0.00 ps
OUT-n97: 0.00 ps
OUT-n98: 0.00 ps
OUT-n99: 0.00 ps
OUT-n100: 0.00 ps
OUT-n101: 0.00 ps
OUT-n102: 0.00 ps
OUT-n103: 0.00 ps
OUT-n104: 0.00 ps
OUT-n105: 0.00 ps
OUT-n106: 0.00 ps
NAND-n107: -0.44 ps
NAND-n108: -0.44 ps
NAND-n109: -0.44 ps
NAND-n110: -0.44 ps
NAND-n111: -0.63 ps
NAND-n112: -0.63 ps
NAND-n113: -0.63 ps
NAND-n114: -0.63 ps
NAND-n115: -0.63 ps
NAND-n116: -0.63 ps
NAND-n117: -0.63 ps
NAND-n118: -0.63 ps
NAND-n119: -0.63 ps
NAND-n120: -0.63 ps
NAND-n121: -0.63 ps
NAND-n122: -0.63 ps
NAND-n123: -0.63 ps
NAND-n124: -0.63 ps
NAND-n125: -0.63 ps
NAND-n126: -0.63 ps
NAND-n127: -0.63 ps
NAND-n128: -0.63 ps
NAND-n129: -0.63 ps
NAND-n130: -0.63 ps
NAND-n131: -0.63 ps
NAND-n132: -0.63 ps
NAND-n133: -0.63 ps
NAND-n134: -0.63 ps
NAND-n135: -0.63 ps
NAND-n136: -0.63 ps
NAND-n137: -0.63 ps
NAND-n138: -0.63 ps
NAND-n139: -0.63 ps
NAND-n140: -0.63 ps
INPUT-n141: -0.76 ps
NAND-n142: -0.48 ps
INPUT-n143: -0.76 ps
NAND-n144: -0.48 ps
INPUT-n145: -0.72 ps
NAND-n146: -0.31 ps
INPUT-n147: -0.20 ps
NAND-n148: -0.37 ps
INPUT-n149: -0.20 ps
NAND-n150: -0.37 ps
INPUT-n151: -0.23 ps
AND-n152: -0.36 ps
INPUT-n153: -0.23 ps
